CUSTOMER_REVIEW,CELEBRITY_REACH,COMPETETION,INNOVATION,QUALITY,TRANSPARENCY,COMMUNICATION,TARGET_GROUP,FREQUENT_REMINDERS,IMPACT_RATE,DESCISION_MAKING
2,0,19,8,10,4,2,42,1,36.07825,0
8,0,31,1,9,5,2,10,4,25.57225,0
9,1,67,3,2,3,6,36,4,60.1725,1
8,0,69,6,3,2,4,40,4,59.074,1
3,0,89,6,9,2,3,40,3,70.52975,1
5,1,46,4,8,4,4,100,2,81.7,1
8,1,33,10,9,4,4,8,3,24.58625,0
5,1,61,8,8,1,3,17,4,41.97625,0
3,1,75,1,9,4,3,6,4,49.11275,0
6,0,23,2,7,4,4,75,5,60.7695,1
8,0,56,3,4,2,4,65,5,67.61525,1
7,0,98,9,4,1,4,96,1,98.8015,1
10,1,70,6,3,1,1,61,3,59.777,1
10,1,68,3,4,3,6,60,5,73.2915,1
6,2,18,10,8,5,2,52,2,36.2495,0
6,1,64,4,6,3,1,55,5,61.09675,1
1,2,3,9,5,5,2,23,4,19.621,0
4,2,3,9,3,3,6,15,3,19.26075,0
8,1,24,5,6,1,2,1,5,12.8455,0
2,1,85,2,2,1,2,96,2,94.0105,1
8,1,51,1,4,2,1,3,5,26.33275,0
4,0,83,9,2,3,3,83,5,89.496,1
10,1,42,10,4,5,5,9,4,30.82125,0
3,1,81,5,4,2,2,40,4,64,1
6,1,57,1,8,2,2,100,1,80.48725,1
6,0,7,9,3,1,1,53,1,27.16775,0
3,1,35,2,1,1,6,90,4,76.3175,1
1,1,55,3,4,3,2,21,1,42.3475,0
9,1,67,9,3,1,2,92,4,77.19425,1
3,2,19,10,1,1,4,16,1,20.28025,0
2,2,98,2,8,5,3,53,1,82.18,1
2,1,64,7,8,3,6,3,5,47.7,0
5,1,63,5,5,5,1,78,5,74.32175,1
1,2,33,8,6,5,6,84,5,75.433,1
7,0,81,7,7,3,1,69,5,75.8115,1
8,0,61,9,2,5,1,57,2,57.0395,1
3,1,62,8,4,1,2,65,3,65.3675,1
8,1,55,1,5,3,6,49,3,62.1855,1
10,1,100,6,3,1,2,62,2,76.047,1
5,0,55,5,1,5,4,96,2,84.382,1
7,0,23,3,5,1,6,61,1,51.1715,1
9,1,53,8,5,1,2,71,5,61.0095,1
8,0,40,5,3,2,3,50,2,46.914,0
2,2,63,7,6,4,5,97,3,91.53,1
4,2,88,2,10,5,4,7,4,56.8205,1
3,2,59,10,4,3,4,23,5,48.0525,0
4,0,98,1,4,4,2,44,4,77.05075,1
7,1,37,3,5,2,6,59,5,59.76525,1
5,2,41,3,1,2,1,72,2,55.276,1
5,0,72,6,4,4,5,54,2,72.36525,1
3,2,82,7,7,3,1,82,2,81.97425,1
6,2,64,1,5,2,3,43,2,56.01,1
10,0,45,2,6,5,4,77,5,69.69425,1
1,1,72,9,5,3,5,33,3,63.061,1
4,2,91,8,8,4,5,20,1,61.92775,1
7,0,37,1,4,2,6,34,5,48.29425,0
7,1,71,5,8,1,6,58,4,73.788,1
5,1,21,8,4,1,6,81,2,60.30925,1
9,1,82,9,9,2,4,16,4,51.0065,1
7,1,82,7,8,1,2,41,4,60.94025,1
5,1,73,2,8,5,6,37,1,67.00675,1
9,1,45,7,3,2,2,95,2,67.98825,1
1,1,2,1,7,4,5,17,4,25.5535,0
6,0,14,8,8,5,4,2,5,17.7545,0
7,0,92,10,2,1,6,67,5,87.87725,1
4,1,19,10,10,5,1,5,2,13.113,0
6,0,62,5,1,3,2,63,2,64.0645,1
7,2,8,1,10,1,2,83,1,46.0225,0
8,2,28,5,7,3,2,78,2,52.809,1
4,1,11,4,2,5,4,18,5,25.691,0
3,2,47,9,8,3,6,1,4,35.35725,0
8,0,52,3,5,3,5,44,3,56.3205,1
5,1,26,1,8,2,6,90,3,71.57625,1
8,2,93,4,4,3,4,51,3,75.03625,1
5,1,51,2,7,5,1,15,3,35.662,0
7,0,14,6,6,2,6,75,4,56.38525,1
4,2,69,4,6,2,6,91,4,92.12325,1
4,2,35,8,2,4,3,39,4,42.13675,0
8,1,48,9,5,3,1,49,3,45.45825,0
8,0,93,7,3,1,4,45,1,69.74525,1
5,2,85,6,7,1,5,32,5,65.89175,1
5,1,90,10,6,5,2,93,1,92.605,1
2,1,9,1,4,4,1,41,5,32.16675,0
2,0,76,2,4,5,5,25,5,66.063,1
9,1,94,4,1,2,4,54,5,77.65325,1
3,1,7,4,1,1,1,32,2,19.87,0
9,1,64,2,2,4,1,84,4,73.6785,1
7,1,15,3,4,1,6,45,5,41.139,0
4,1,55,8,2,4,6,7,1,40.31,0
2,2,64,8,8,3,1,53,4,60.584,1
6,2,93,7,8,1,2,24,5,58.069,1
7,0,53,5,3,5,4,49,3,58.584,1
9,0,65,9,8,1,6,34,2,55.03725,1
4,2,4,10,1,4,1,95,3,50.32175,1
10,2,93,5,9,1,5,63,2,79.90325,1
7,2,34,8,4,3,5,7,2,25.02125,0
1,0,82,3,10,1,5,6,5,57.502,1
7,1,5,7,5,3,2,6,4,7.05825,0
3,0,72,8,1,3,1,21,5,48.8375,0
7,0,15,8,10,2,3,90,2,56.415,1
10,2,16,2,3,3,3,28,1,21.41075,0
5,0,41,3,1,1,3,67,3,59.0135,1
3,2,7,3,3,5,4,17,5,23.5595,0
6,2,21,9,3,5,6,12,1,24.59525,0
4,0,54,1,4,2,1,44,4,52.34875,1
2,2,35,3,9,5,3,28,1,38.92875,0
5,1,6,1,3,5,4,30,3,28.1775,0
3,1,55,5,9,4,6,28,3,55.40475,1
8,2,73,6,10,3,1,5,2,34.55925,0
4,1,3,5,6,1,1,63,2,33.51275,0
10,0,43,4,4,2,4,86,4,69.52175,1
1,0,79,5,4,1,6,4,5,55.78975,1
1,0,32,10,8,1,5,76,2,64.91675,1
1,2,3,7,9,5,1,88,4,52.17,1
5,1,19,5,1,1,4,39,3,34.62225,0
9,2,93,7,8,1,1,54,2,66.59725,1
5,2,27,10,2,3,3,37,4,35.1135,0
9,0,38,4,7,4,2,100,1,70.31,1
10,1,97,8,4,1,4,66,2,80.5445,1
7,1,63,3,9,3,2,66,5,68.37875,1
4,2,63,2,4,2,2,100,1,83.18125,1
1,1,53,8,5,4,4,100,3,87.4325,1
7,1,58,8,2,2,3,38,2,48.124,0
10,0,33,10,7,5,6,38,2,43.448,0
10,2,85,9,4,4,6,55,2,74.3985,1
10,1,65,7,7,3,4,89,1,78.4865,1
7,1,90,3,9,3,5,9,5,58.3985,1
7,0,97,8,3,1,4,31,4,67.28875,1
1,1,1,5,3,2,3,51,1,32.68375,0
1,0,42,2,3,4,6,40,5,59.6575,1
8,1,12,2,8,5,5,31,4,32.45925,0
8,2,21,9,2,3,2,71,1,43.146,0
7,1,17,8,3,4,6,79,4,59.372,1
2,2,98,5,5,3,3,80,5,96.4825,1
1,1,11,1,2,4,1,33,4,28.748,0
4,0,83,8,5,4,4,52,4,76.3155,1
9,2,67,6,4,4,4,56,3,64.47,1
2,2,46,2,2,4,5,84,5,79.2715,1
3,2,90,4,2,4,6,70,4,93.06575,1
3,2,80,3,9,3,6,35,5,71.50175,1
9,2,62,7,4,5,5,46,4,60.295,1
4,0,21,5,10,5,6,84,5,70.632,1
9,1,26,7,5,5,4,26,1,29.2775,0
4,2,46,9,1,5,4,85,2,72.0515,1
8,0,13,1,3,1,4,85,1,53.96975,1
5,2,43,7,10,1,3,66,1,55.93025,1
8,0,63,10,9,2,3,92,3,79.651,1
10,1,43,7,7,3,5,55,4,54.932,1
5,1,64,8,4,5,1,97,1,80.4005,1
10,2,32,5,1,2,2,54,3,39.9675,0
10,2,76,1,5,5,4,11,3,47.1435,0
10,1,57,5,9,1,1,5,5,27.3135,0
5,0,41,7,10,3,3,61,2,56.54275,1
4,0,23,2,4,5,1,19,5,27.25975,0
8,2,54,4,2,2,5,43,4,54.202,1
5,2,5,3,10,4,3,57,1,36.52075,0
5,0,83,10,9,4,4,55,1,74.60625,1
4,2,39,7,9,2,6,79,5,71.81725,1
7,1,30,1,7,3,4,9,2,25.4895,0
9,2,66,1,1,3,1,76,2,67.42475,1
6,2,86,3,10,5,1,94,2,90.76125,1
10,1,99,1,8,4,5,18,5,66.14575,1
10,1,70,10,6,4,3,82,4,77.11175,1
5,2,71,1,6,1,6,24,2,56.29475,1
3,1,83,9,2,2,3,80,5,87.073,1
5,2,55,2,4,2,2,42,2,49.372,0
8,0,91,1,4,5,5,18,4,64.297,1
6,2,84,4,10,2,3,5,1,44.905,0
7,2,50,6,3,4,2,10,4,30.4885,0
2,2,47,9,1,5,6,91,4,83.17775,1
2,1,92,3,9,2,5,41,5,79.20075,1
1,2,13,3,7,3,4,58,1,45.153,0
3,1,13,10,3,4,2,65,3,43.3425,0
6,2,22,2,7,1,6,14,2,26.68425,0
4,1,3,6,7,4,5,52,2,38.55425,0
7,0,56,4,10,3,6,31,1,53.28975,1
10,1,98,10,8,1,5,32,5,67.91275,1
4,0,8,8,2,5,2,68,1,42.286,0
7,2,12,9,1,4,5,2,3,12.71225,0
4,0,25,3,7,4,4,48,5,49.08925,0
3,2,49,6,7,1,6,19,2,43.37775,0
8,1,94,5,5,1,4,20,2,58.03325,1
9,1,34,4,10,3,1,69,4,51.2835,1
7,2,33,3,7,3,1,33,5,33.574,0
2,1,35,1,9,4,5,53,2,57.8295,1
2,1,9,7,10,3,6,44,2,40.45075,0
9,1,17,2,9,1,1,12,1,10.3725,0
5,0,60,2,9,1,2,32,5,50.805,1
1,0,67,4,10,3,6,68,5,85.67,1
8,2,100,3,6,1,1,26,1,56.48525,1
5,1,80,9,4,3,3,51,2,67.67475,1
4,0,84,9,4,2,4,25,5,61.73275,1
1,2,24,1,6,1,3,79,2,58.904,1
1,0,42,3,4,2,5,34,2,50.383,1
9,1,29,3,3,5,1,36,5,33.46925,0
9,1,39,7,1,5,5,24,5,39.26125,0
8,1,10,5,2,5,4,11,1,14.901,0
6,2,41,5,8,4,1,25,4,33.5355,0
6,1,13,5,2,2,5,43,2,35.26025,0
9,1,44,1,10,5,4,66,1,61.08575,1
9,2,17,10,9,4,3,89,5,56.39625,1
9,0,15,5,5,2,3,5,3,11.947,0
6,2,80,10,2,2,4,82,1,82.008,1
3,2,39,6,3,4,2,50,5,49.90625,0
7,1,2,1,9,1,2,43,3,24.884,0
6,1,92,6,1,4,2,46,3,69.899,1
2,0,20,10,4,5,5,37,3,41.391,0
2,2,2,7,6,5,4,8,1,13.33525,0
1,1,95,7,4,4,5,44,3,80.9715,1
8,2,18,3,10,5,1,41,1,28.42625,0
8,0,11,2,6,4,6,27,5,32.83675,0
9,1,51,7,7,2,4,57,2,56.12275,1
2,1,73,4,2,1,3,14,4,49.043,0
7,0,72,3,2,5,3,64,5,75.312,1
1,1,21,4,6,1,1,59,3,43.58975,0
9,1,96,9,7,1,2,8,1,45.864,0
10,1,32,1,5,4,4,25,3,33.53325,0
5,0,7,10,2,3,3,20,2,17.0905,0
10,2,24,4,3,3,6,44,5,42.56525,0
9,0,68,10,9,5,1,92,2,78.281,1
2,1,91,9,6,5,4,43,3,75.92725,1
7,0,24,2,6,5,6,36,3,43.67375,0
8,2,50,8,4,2,4,93,3,74.1705,1
4,2,7,3,1,3,6,81,1,55.28875,1
7,1,89,5,5,4,2,28,1,57.62625,1
5,1,100,7,10,3,5,9,3,62.12075,1
4,2,33,7,5,4,4,68,5,59.83325,1
9,1,32,2,3,1,2,97,4,65.19575,1
4,2,68,9,5,2,1,98,3,81.896,1
6,0,25,8,2,2,3,38,4,35.66175,0
8,0,94,6,8,3,4,12,2,56.4025,1
3,2,51,4,4,3,3,29,5,47.008,0
5,0,2,2,7,5,5,78,3,54.408,1
5,0,61,3,2,3,3,2,4,37.39525,0
2,0,49,6,3,4,1,43,4,50.829,1
7,1,35,3,10,5,5,47,2,50.9255,1
5,2,81,6,8,3,1,10,1,42.346,0
5,2,14,5,6,2,5,34,5,33.8405,0
5,0,100,7,7,5,6,48,2,85.66775,1
1,1,41,3,5,3,6,61,5,68.29825,1
10,1,15,3,1,1,5,89,3,57.2855,1
4,0,2,1,3,2,5,47,5,38.369,0
2,0,60,10,2,2,5,44,3,61.7015,1
1,2,22,7,7,4,1,90,4,61.30325,1
5,0,56,10,6,4,1,30,4,44.19475,0
5,0,11,1,5,1,1,28,5,22.88,0
7,1,52,5,3,5,6,56,1,63.5495,1
5,0,95,3,10,4,1,44,4,72.80525,1
1,1,32,1,5,3,3,75,4,64.521,1
10,2,14,1,5,2,5,95,5,62.4105,1
3,0,43,2,2,2,5,81,3,74.35,1
7,0,47,1,9,4,4,57,1,59.5825,1
1,2,77,10,3,2,2,78,2,79.11625,1
10,0,4,4,6,3,6,19,2,20.023,0
4,1,39,5,4,4,6,19,1,40.04675,0
10,0,19,9,3,3,1,44,4,28.84725,0
3,0,60,9,3,4,1,52,5,59.78925,1
5,1,61,3,6,3,2,100,2,83.84,1
1,0,12,8,6,5,5,68,4,56.05675,1
8,0,8,2,8,3,5,99,1,62.7995,1
1,2,20,9,7,2,4,95,4,67.38175,1
7,2,20,4,7,4,3,46,5,38.8395,0
2,1,84,9,5,4,4,1,1,48.44625,0
1,0,15,6,10,5,3,7,2,21.211,0
8,0,48,6,1,3,4,66,2,61.33825,1
7,0,41,7,8,4,3,56,2,52.80475,1
6,0,27,10,3,3,5,82,3,63.1555,1
2,2,2,5,10,4,4,35,3,29.27975,0
8,2,9,2,6,2,3,70,3,42.61525,0
6,1,97,6,7,3,4,48,3,77.75175,1
7,0,54,6,7,1,6,40,3,56.0745,1
1,1,67,9,9,2,3,5,4,42.43975,0
10,0,74,7,8,1,3,100,4,88.28725,1
3,1,78,10,8,1,6,54,3,75.9695,1
4,1,6,3,1,5,4,68,2,46.93875,0
9,0,85,5,9,2,6,10,2,54.322,1
8,0,49,8,8,3,4,93,5,78.43475,1
5,2,67,4,2,4,3,24,5,50.93,1
6,1,95,4,8,5,5,1,5,58.4845,1
8,2,86,5,6,2,3,31,3,58.40325,1
2,2,5,7,7,3,6,52,2,41.31475,0
4,0,87,3,2,4,6,69,2,90.947,1
2,1,68,10,9,3,6,69,5,82.905,1
3,1,51,2,3,4,2,37,4,50.346,1
8,2,83,10,2,2,2,75,2,74.64125,1
5,1,53,4,10,2,4,23,2,44.08825,0
6,1,26,3,9,3,3,1,3,18.50575,0
3,0,45,10,6,2,2,19,2,34.0105,0
2,2,20,3,10,4,3,23,1,28.56875,0
8,0,72,9,5,3,2,88,4,81.01,1
2,0,85,3,8,3,3,74,2,87.7265,1
7,2,93,2,2,5,6,10,1,59.265,1
1,1,30,7,5,2,1,83,4,60.7455,1
6,2,82,5,8,5,4,96,4,97.09925,1
3,1,46,4,8,3,2,58,3,57.327,1
10,2,97,9,4,3,3,11,1,49.367,0
9,0,82,8,2,1,6,31,1,60.35075,1
8,1,12,1,1,2,1,85,1,46.46675,0
9,2,30,4,9,1,3,28,4,30.0025,0
10,1,24,10,4,1,2,91,3,54.31775,1
6,1,27,7,1,4,3,16,3,25.1525,0
10,1,62,8,5,5,4,60,4,65.3145,1
10,0,58,2,2,3,3,25,3,43.316,0
7,0,24,6,3,2,3,17,3,23.495,0
10,2,30,9,8,3,3,87,5,60.22575,1
4,2,58,6,5,3,5,22,2,47.44125,0
3,2,94,7,7,4,1,76,3,86.13675,1
5,2,84,9,2,3,3,89,1,87.21,1
9,0,95,9,5,4,6,25,1,65.753,1
4,1,26,9,7,5,2,65,1,48.75625,0
1,2,13,10,4,1,1,45,3,29.4445,0
1,0,7,4,4,1,3,16,3,19.7205,0
5,0,41,6,5,2,4,50,2,51.95425,1
10,2,83,4,9,4,4,29,2,57.876,1
5,0,34,7,5,5,1,2,5,21.51575,0
9,1,93,1,6,4,1,100,5,97.457,1
2,0,87,7,2,1,5,11,4,58.573,1
10,0,58,1,9,1,1,1,3,26.3485,0
3,1,55,9,7,2,6,21,3,48.82075,0
7,1,99,2,1,1,2,88,3,93.1885,1
4,0,65,6,4,3,5,31,3,58.00125,1
8,2,58,1,9,1,2,91,4,75.5105,1
8,2,21,8,3,2,6,87,4,62.1975,1
1,1,9,6,2,4,2,94,4,59.92125,1
4,2,54,2,4,2,6,10,1,41.0995,0
8,1,82,3,3,5,6,77,5,91.71875,1
4,0,33,9,7,3,5,45,4,50.16675,1
8,1,79,2,9,3,4,36,3,62.82725,1
8,2,90,6,4,2,6,87,5,96.773,1
3,1,15,7,3,3,6,32,4,36.95725,0
9,2,97,2,2,2,4,60,5,81.99,1
7,1,38,2,2,4,4,6,5,29.8835,0
8,1,29,10,7,4,1,6,4,15.62475,0
3,0,65,5,6,4,2,21,2,47.63125,0
8,1,43,4,7,2,6,17,1,36.94325,0
4,0,44,7,1,5,3,66,2,61.6305,1
3,1,63,6,10,4,5,3,1,42.39275,0
9,2,30,4,3,3,4,60,3,48.581,0
10,2,48,8,5,2,1,82,3,59.51225,1
7,2,16,5,1,5,4,20,2,22.93175,0
3,2,67,6,3,1,4,78,5,79.94075,1
6,0,70,4,6,4,1,23,1,45.976,0
5,0,70,7,6,3,2,88,5,84.022,1
10,1,47,3,6,5,2,13,5,31.97575,0
3,2,20,10,1,5,5,72,3,56.353,1
8,0,85,2,7,5,3,73,1,83.204,1
5,1,21,9,4,3,1,80,3,50.838,1
1,2,57,5,2,3,3,29,4,50.13475,1
7,1,71,6,8,3,2,93,3,83.51475,1
4,1,19,3,10,2,4,7,2,20.66675,0
7,1,91,7,8,3,4,87,3,94.036,1
6,0,38,8,1,5,1,65,2,51.95625,1
9,1,89,7,3,2,1,66,2,71.89675,1
1,2,82,3,3,4,1,81,2,84.51575,1
6,0,79,2,2,4,4,1,4,47.90525,0
5,0,11,5,5,3,4,50,3,39.419,0
1,1,33,3,5,3,3,51,5,52.76925,1
4,1,68,3,8,2,4,52,5,69.4625,1
2,1,100,5,2,1,3,8,5,59.3465,1
7,0,67,7,3,1,5,13,3,45.331,0
10,0,97,3,9,4,1,66,3,80.15925,1
3,0,70,7,7,3,4,14,2,49.54775,0
7,1,92,7,1,2,4,1,1,46.8595,0
3,2,86,6,2,3,4,45,3,71.74425,1
5,0,64,3,10,3,1,77,4,74.279,1
3,1,59,6,8,2,2,95,5,82.88425,1
3,1,10,8,6,2,6,2,4,18.428,0
1,2,52,8,1,4,1,50,2,52.3215,1
10,1,4,8,8,5,3,75,3,42.72925,0
4,1,11,1,4,2,1,45,1,28.96475,0
5,1,99,8,7,2,2,7,3,52.635,1
3,1,70,8,8,4,1,1,2,35.898,0
5,2,61,6,8,2,1,51,4,55.579,1
4,1,60,1,6,4,4,65,4,73.374,1
2,1,39,10,7,1,6,9,4,35.51875,0
9,2,29,6,9,3,5,81,2,60.51775,1
6,2,12,8,5,5,3,15,4,18.24025,0
4,1,45,1,8,5,4,20,4,43.94625,0
4,1,47,9,7,2,6,41,1,52.9375,1
2,0,46,1,3,1,6,6,2,38.9635,0
4,1,24,5,10,4,6,47,5,51.275,1
10,2,66,10,7,4,6,53,4,65.93225,1
9,2,96,5,2,5,4,52,2,76.2745,1
2,1,67,4,6,3,6,29,3,61.657,1
2,0,17,7,5,3,1,47,2,35.22725,0
9,2,76,6,3,1,6,3,2,42.6515,0
9,0,64,10,7,4,3,66,1,65.51,1
2,2,28,8,1,4,3,23,1,29.64575,0
2,0,65,4,8,3,2,95,2,86.50925,1
7,2,54,8,5,4,2,59,3,56.57,1
6,1,50,10,10,1,6,65,2,65.29775,1
10,1,74,10,6,4,4,56,1,65.41475,1
3,1,25,4,3,4,1,20,3,25.5315,0
7,0,97,9,2,1,5,80,5,95.11825,1
8,2,38,4,8,5,1,1,3,18.338,0
8,0,85,2,8,3,3,96,4,96.11875,1
3,0,46,8,4,1,1,94,4,72.24825,1
9,0,77,3,10,2,1,41,1,55.58125,1
1,1,9,4,1,2,3,63,4,45.117,0
9,0,89,2,4,3,2,72,2,80.5435,1
9,1,77,2,7,5,2,3,1,39.2785,0
9,0,23,2,1,1,5,48,1,40.43825,0
7,0,85,4,1,1,2,99,2,91.71225,1
1,2,72,4,7,3,3,8,2,45.8725,0
1,2,81,4,5,3,2,81,3,86.22825,1
2,1,78,1,9,4,3,53,2,74.05975,1
9,1,20,3,4,3,1,76,5,48.49475,0
8,0,2,1,10,2,4,21,2,18.09675,0
1,1,57,2,3,4,1,86,1,75.6065,1
9,0,53,8,9,3,5,68,1,65.79125,1
7,1,33,3,5,1,5,16,1,29.58525,0
8,1,37,1,1,5,1,59,5,50.343,1
2,1,3,4,2,2,4,36,5,30.588,0
9,1,5,2,10,5,4,24,4,22.77175,0
1,0,45,10,5,3,2,63,3,59.73825,1
4,1,99,2,6,1,3,30,1,66.9295,1
2,0,42,6,3,4,4,88,5,78.04125,1
1,2,34,9,6,5,2,15,4,30.4635,0
5,0,24,7,1,3,1,66,2,45.43125,0
10,2,6,1,7,2,1,40,3,20.1535,0
10,0,55,6,10,2,1,68,5,60.40075,1
2,0,30,4,3,5,1,33,2,36.34475,0
5,2,43,7,1,3,1,61,2,50.0385,1
10,2,18,5,5,3,1,58,3,34.4155,0
5,2,35,2,6,4,4,95,1,72.466,1
3,0,35,10,3,2,5,38,4,46.74475,0
1,0,47,1,4,4,5,83,3,80.95275,1
9,2,52,6,2,5,5,35,3,49.08325,0
4,2,28,9,2,2,6,85,3,66.52175,1
2,2,23,3,7,4,4,43,3,43.68725,0
7,2,6,5,1,1,1,96,4,49.52025,0
8,0,57,2,8,5,1,45,3,52.68825,1
3,1,39,10,1,2,3,33,4,40.5015,0
10,1,40,4,9,5,3,48,5,48.969,0
6,1,97,7,6,4,4,3,5,56.36875,1
5,1,1,2,9,2,5,12,1,15.391,0
4,0,78,3,10,2,6,39,2,70.75025,1
10,2,25,8,4,1,1,1,3,5.80175,0
10,0,61,7,3,2,1,39,1,43.90325,0
4,2,45,4,9,3,1,67,4,58.4765,1
3,2,56,2,2,3,2,56,2,59.16325,1
1,1,41,10,2,3,5,85,3,74.36725,1
5,2,41,10,4,2,5,42,3,47.5045,0
10,2,66,1,7,3,1,62,4,61.758,1
8,2,69,1,9,4,1,26,2,45.64075,0
2,0,8,3,10,1,6,68,1,52.31825,1
8,2,43,3,1,1,5,64,3,58.44325,1
7,2,27,9,6,3,4,37,5,37.30375,0
10,1,41,2,9,4,5,38,1,45.38275,0
6,0,49,1,2,5,5,62,3,67.4805,1
9,0,12,1,3,4,2,94,2,55.94975,1
4,2,96,6,2,2,4,40,3,72.4105,1
10,0,89,2,4,3,4,17,2,55.68275,1
8,1,10,6,4,4,5,83,1,53.49325,1
3,0,57,7,5,4,3,91,5,83.7405,1
2,1,31,9,2,3,6,44,3,50.08275,1
10,0,8,2,1,2,1,94,3,49.79825,0
5,0,90,9,1,1,1,14,4,49.66425,0
7,2,1,5,5,4,5,22,3,19.552,0
7,2,5,9,9,3,5,95,3,57.732,1
2,0,50,3,5,2,5,74,5,76.558,1
9,1,10,4,4,1,3,76,5,46.2935,0
2,2,89,6,10,1,2,54,2,73.10225,1
4,1,43,10,9,4,3,96,5,77.45875,1
10,1,83,3,4,2,4,22,1,52.61225,1
7,1,50,6,2,2,4,77,3,68.024,1
5,0,78,7,1,3,1,36,5,58.14975,1
7,1,12,6,9,5,5,53,1,41.16075,0
3,2,41,1,9,5,5,28,4,48.3305,0
7,2,51,6,6,3,1,96,5,73.6655,1
2,2,70,1,7,2,6,96,3,97.0815,1
2,2,28,1,3,2,4,36,1,39.521,0
10,2,6,4,8,2,1,86,1,41.5395,0
1,0,63,6,9,1,1,1,5,36.04575,0
3,2,95,3,1,3,3,73,1,87.562,1
3,2,82,7,1,2,1,56,5,69.37725,1
10,0,2,6,3,3,3,81,2,43.53325,0
3,2,2,3,4,3,1,69,4,39.377,0
3,0,72,6,6,3,5,64,5,81.04675,1
1,2,60,1,5,3,2,33,1,50.74075,1
9,0,64,3,5,3,2,82,3,74.34925,1
